1582803906.000000, 1582803906.000000, 1582803906.000000
32.000000, 32.000000, 32.000000
-2,51,16
-5,46,17
-12,44,20
-18,46,19
-34,48,23
-40,48,19
-42,44,17
-39,41,16
-35,44,14
-35,60,14
-34,63,15
-31,66,16
-30,77,18
-27,87,21
-23,85,26
-10,65,28
-8,53,25
-9,57,13
-9,61,8
-11,69,1
-11,69,-3
-12,62,2
-11,57,7
-11,53,18
-9,54,21
-13,55,17
-18,56,13
-26,58,8
-29,59,8
-28,54,10
-29,53,10
-29,55,10
-33,62,10
-33,62,14
-29,65,17
-31,77,18
-37,75,16
-39,74,17
-37,69,17
-34,57,16
-23,46,16
-15,48,16
-4,59,13
-1,63,10
-1,64,11
-2,60,14
-4,53,19
-7,49,20
-14,48,23
-19,50,22
-25,54,17
-29,54,17
-33,51,18
-34,49,19
-33,48,23
-29,47,21
-28,54,22
-31,62,13
-28,60,13
-26,62,11
-28,68,11
-28,81,14
-29,84,18
-22,71,28
-17,60,34
-12,50,26
-14,52,18
-14,61,8
-14,67,4
-14,68,2
-15,66,4
-13,57,8
-14,55,9
-14,52,13
-17,51,15
-20,52,15
-24,53,15
-25,53,15
-28,58,15
-30,62,15
-35,64,14
-36,62,14
-35,70,15
-37,74,17
-38,74,17
-37,75,16
-34,60,15
-29,50,15
-19,46,18
-11,51,17
-2,62,12
0,66,10
1,60,18
-2,56,19
-9,51,21
-12,52,24
-19,52,23
-29,55,16
-33,55,15
-37,50,14
-36,46,14
-32,44,14
-33,45,13
-33,57,12
-34,63,11
-32,64,13
-33,70,13
-27,75,17
-25,77,21
-16,75,28
-12,65,25
-8,54,20
-11,54,15
-14,59,9
-16,63,6
-16,70,3
-15,64,7
-15,60,9
-15,57,11
-14,57,13
-17,57,14
-18,56,14
-20,54,16
-20,53,17
-20,53,17
-21,54,17
-27,56,14
-30,57,13
-35,56,11
-35,56,12
-32,73,17
-32,77,18
-33,76,21
-34,70,21
-32,52,17
-28,47,18
-16,48,16
-6,62,11
1,66,10
0,67,13
-1,63,18
-7,53,26
-13,50,24
-19,50,20
-21,53,16
-24,55,13
-28,56,13
-36,50,15
-38,47,16
-36,49,16
-37,52,16
-36,58,14
-33,59,14
-22,56,14
-18,60,18
-14,67,24
-16,66,23
-15,71,26
-19,73,13
-19,70,7
-14,56,10
-13,51,10
-18,51,6
-23,55,5
-24,65,5
-23,68,4
-18,67,6
-17,64,9
-15,60,11
-15,59,12
-18,57,13
-18,57,14
-19,58,15
-20,59,15
-21,59,16
-21,60,16
-21,59,16
-22,59,14
-25,58,13
-30,56,12
-31,62,12
-29,70,16
-29,73,17
-31,73,21
-32,67,20
-31,52,18
-25,48,18
-16,50,14
-11,55,12
-4,64,12
-3,66,11
-4,63,15
-4,59,19
-9,53,25
-13,51,26
-20,52,23
-24,53,21
-32,53,18
-35,53,17
-39,52,17
-36,52,20
-35,54,22
-37,58,18
-33,61,14
-24,64,8
-21,64,6
-14,62,7
-13,60,6
-10,59,6
-10,60,6
-13,61,4
-14,60,4
-14,61,4
-14,62,5
-17,62,6
-17,63,8
-20,65,9
-20,65,10
-21,65,10
-21,64,10
-21,63,10
-19,63,9
-18,64,9
-18,67,8
-18,68,8
-18,66,8
-18,64,9
-17,59,12
-17,58,12
-16,60,14
-16,60,14
-17,60,14
-19,59,14
-22,58,16
-23,57,17
-25,56,20
-24,56,22
-22,56,21
-21,57,20
-22,59,17
-23,59,15
-25,57,13
-25,56,12
-24,56,11
-32,57,14
-30,56,13
-31,57,11
-30,58,12
-26,58,12
-25,59,13
-26,59,15
-25,59,15
-23,59,15
-22,59,15
-19,59,15
-21,59,15
-21,59,14
-19,59,13
-19,60,14
-20,59,13
-22,59,12
-23,59,12
-23,59,12
-21,59,13
-21,59,13
-21,59,13
-22,59,13
-20,60,15
-19,61,14
-18,60,14
-18,59,13
-18,58,12
-18,59,11
-21,59,11
-20,59,11
-19,61,10
-20,61,10
-19,60,9
-19,60,9
-20,61,9
-20,61,9
-19,62,9
-19,62,9
-19,63,9
-19,64,10
-18,64,10
-17,64,10
-17,63,11
-18,62,11
-19,62,11
-20,61,10
-20,61,10
-19,61,10
-18,61,10
-17,59,9
-17,59,9
-19,59,9
-20,59,9
-21,58,9
-22,57,9
-23,57,9
-23,57,9
-25,60,9
-24,62,10
-23,62,9
-21,63,9
-19,63,9
-18,61,10
-18,61,10
-17,61,10
-17,61,11
-19,62,12
-21,62,12
-23,62,13
-23,62,13
-23,61,12
-22,60,12
-20,61,12
-18,61,12
-18,62,11
-18,62,11
-21,61,12
-22,61,12
-23,61,12
-25,60,13
-25,61,14
-25,62,15
-25,62,15
-24,62,14
-24,61,14
-22,60,14
-20,61,14
-15,61,13
-14,62,12
-13,62,11
-12,63,12
-12,62,13
-12,61,14
-11,59,16
-10,58,17
-8,58,20
-9,58,24
-16,57,21
-19,56,19
-23,55,17
-23,54,17
-18,51,15
-25,52,15
-26,52,17
-23,54,19
-23,56,22
-24,63,27
-25,63,27
-22,61,22
-19,64,18
-17,60,11
-14,60,12
-12,54,12
-18,54,8
-42,54,-11
-54,55,-23
