1579783503.000000, 1579783503.000000, 1579783503.000000
32.000000, 32.000000, 32.000000
9,1,62
10,1,63
10,1,64
10,1,64
10,3,65
9,3,65
9,3,64
9,4,64
9,4,63
9,4,62
9,4,62
9,3,62
9,3,62
9,3,62
9,3,63
8,3,63
8,3,63
8,3,64
7,4,64
7,4,64
7,4,63
7,3,62
7,3,62
8,2,62
8,2,61
7,4,62
7,4,62
8,4,62
8,4,62
7,4,62
7,4,62
8,5,62
8,5,62
8,5,62
8,5,63
10,4,63
9,5,63
9,5,63
8,4,63
9,4,63
9,4,62
9,4,63
10,4,63
10,4,63
12,4,64
12,4,64
11,3,64
10,3,64
10,4,64
10,4,63
9,4,63
9,4,63
9,4,62
9,4,62
10,4,62
10,3,61
10,3,61
10,2,61
10,2,61
9,2,62
10,2,63
9,3,63
9,3,63
9,3,63
9,3,63
9,3,62
9,3,62
9,1,61
9,1,62
10,0,62
10,0,63
11,0,64
11,0,64
11,0,63
11,0,62
10,0,61
10,0,61
10,0,61
10,1,63
10,1,64
10,1,63
10,1,64
9,1,63
10,1,63
11,0,62
11,0,61
11,0,62
12,0,62
12,1,62
11,1,62
11,2,62
11,2,62
11,2,61
11,2,61
13,2,62
12,2,62
13,1,61
14,2,62
13,2,62
12,3,61
12,3,61
12,3,60
12,4,60
11,5,61
8,6,63
6,8,67
8,8,68
9,7,67
11,6,66
10,6,65
10,6,64
11,6,62
12,7,61
12,7,59
12,8,58
12,10,55
12,10,54
12,10,55
12,9,55
13,8,56
15,7,58
15,7,59
19,4,60
21,4,62
25,5,64
26,6,65
23,7,65
21,8,64
21,8,61
20,7,59
21,5,56
21,6,55
21,5,53
25,4,53
26,4,55
23,5,54
25,6,53
28,8,53
29,12,52
27,12,47
34,9,46
46,10,53
42,12,54
39,15,58
40,16,60
41,20,63
39,21,62
36,21,57
37,21,57
34,24,52
33,23,50
35,20,48
36,20,47
37,20,47
37,22,46
36,25,46
37,27,46
37,29,46
36,30,46
32,30,44
